Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
cloud,PaloBst,10,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.7,0.5,0.5,0.35,0.095238095,0.334641912,0.0768371,0.0194348
cloud,PaloBst,2,"{'learning_rate': 0.2890239190348377, 'max_depth': 4, 'n_estimators': 75, 'subsample': 0.7579160559651983, 'distribution': 'bernoulli'}",0.727272727,0.5,0.5,0.363636364,0.333333333,0.391759109,0.0740838,0.0005215
cloud,PaloBst,3,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.727272727,0.5,0.5,0.363636364,0.25,0.37990395,0.103971,0.0950667
cloud,PaloBst,4,"{'learning_rate': 0.5883197900324809, 'max_depth': 6, 'n_estimators': 70, 'subsample': 0.6330749092539296, 'distribution': 'bernoulli'}",0.727272727,0.5,0.5,0.363636364,0.4375,0.435236291,0.095635,0.022834
cloud,PaloBst,5,"{'learning_rate': 0.5883197900324809, 'max_depth': 6, 'n_estimators': 70, 'subsample': 0.6330749092539296, 'distribution': 'bernoulli'}",0.727272727,0.5,0.5,0.363636364,0.6875,0.605118146,0.0872918,0.0045717
cloud,PaloBst,6,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.727272727,0.5,0.5,0.363636364,0.395833333,0.495497385,0.0985676,0.1718158
cloud,PaloBst,7,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.636363636,0.5,0.5,0.318181818,0.571428571,0.58830267,0.1079052,0.0911295
cloud,PaloBst,8,"{'learning_rate': 0.5250677869687488, 'max_depth': 7, 'n_estimators': 77, 'subsample': 0.7635549038733036, 'distribution': 'bernoulli'}",0.636363636,0.5,0.5,0.318181818,0.803571429,0.827850572,0.129463,0.1912773
cloud,PaloBst,9,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.7,0.5,0.5,0.35,0.547619048,0.600226757,0.104877,0.1163641
cloud,ProbabilisticRandomForest,1,"{'keep_proba': 0.026676199354760628, 'max_depth': 7, 'n_estimators_': 33}",0.727272727,0.5,0.5,0.363636364,0.75,0.64378382,0.1617292,0.006974
